ID,BUG_TYPE,STOP_COND,BUD,SUBJ,TOOL,LINE,BRNCH,EPACOV,EPA,EPATOT,EXCEPCOV,EXCEP,EXCEPTOT,EXCEPVALCOV,EXCEPVAL,EXCEPVALTOT,ADJACCOV,ADJAC,ADJACTOT,ERR,NERR,TERR,MUT,TIME,LOC,PIMUT,ERRF,MJMUT,MUT_KILLED,ERRPROT_KILLED,GENS,TOT_TIME
0,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.804020101,0.755555556,0.95,19,20,0.060546875,31,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.676767677,N/A,N/A,N/A,N/A,1123,640.07
1,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.777777778,1,20,20,0.056640625,29,512,0.092105263,49,532,0.001116071,49,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.686868687,N/A,N/A,N/A,N/A,1128,636.584
2,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.788944724,0.766666667,0.95,19,20,0.056640625,29,512,0.090225564,48,532,0.001093294,48,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.666666667,N/A,N/A,N/A,N/A,1071,637.128
3,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.783919598,0.722222222,0.95,19,20,0.056640625,29,512,0.090225564,48,532,0.001093294,48,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.656565657,N/A,N/A,N/A,N/A,1048,639.052
4,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.798994975,0.744444444,0.95,19,20,0.056640625,29,512,0.090225564,48,532,0.001093294,48,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.656565657,N/A,N/A,N/A,N/A,1014,636.973
5,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.777777778,1,20,20,0.05859375,30,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.707070707,N/A,N/A,N/A,N/A,1069,639.585
6,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.744444444,0.95,19,20,0.05859375,30,512,0.092105263,49,532,0.001116071,49,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.666666667,N/A,N/A,N/A,N/A,1126,655.859
7,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.755555556,0.95,19,20,0.05859375,30,512,0.092105263,49,532,0.001116071,49,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.676767677,N/A,N/A,N/A,N/A,1163,658.216
8,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.744444444,0.95,19,20,0.060546875,31,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.646464646,N/A,N/A,N/A,N/A,1223,658.25
9,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.777777778,0.95,19,20,0.05859375,30,512,0.092105263,49,532,0.001116071,49,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.676767677,N/A,N/A,N/A,N/A,1220,656.63
10,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.798994975,0.733333333,0.95,19,20,0.056640625,29,512,0.090225564,48,532,0.001093294,48,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.666666667,N/A,N/A,N/A,N/A,1333,654.218
11,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.814070352,0.766666667,1,20,20,0.056640625,29,512,0.092105263,49,532,0.001116071,49,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.686868687,N/A,N/A,N/A,N/A,1106,659.661
12,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.788888889,1,20,20,0.056640625,29,512,0.092105263,49,532,0.001116071,49,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.696969697,N/A,N/A,N/A,N/A,1170,656.157
13,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.819095477,0.777777778,1,20,20,0.05859375,30,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.686868687,N/A,N/A,N/A,N/A,1207,654.574
14,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.755555556,0.95,19,20,0.060546875,31,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.656565657,N/A,N/A,N/A,N/A,1176,652.697
15,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.804020101,0.755555556,0.95,19,20,0.056640625,29,512,0.090225564,48,532,0.001093294,48,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.666666667,N/A,N/A,N/A,N/A,1187,658.645
16,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.814070352,0.766666667,0.95,19,20,0.060546875,31,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.686868687,N/A,N/A,N/A,N/A,1233,655.091
17,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.777777778,1,20,20,0.05859375,30,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.676767677,N/A,N/A,N/A,N/A,1229,658.453
18,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.814070352,0.766666667,0.95,19,20,0.060546875,31,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.666666667,N/A,N/A,N/A,N/A,1092,657.243
19,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.814070352,0.777777778,0.95,19,20,0.060546875,31,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.696969697,N/A,N/A,N/A,N/A,1171,656.388
21,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.777777778,0.95,19,20,0.056640625,29,512,0.090225564,48,532,0.001093294,48,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.666666667,N/A,N/A,N/A,N/A,1132,655.871
22,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.814070352,0.788888889,0.95,19,20,0.05859375,30,512,0.092105263,49,532,0.001116071,49,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.676767677,N/A,N/A,N/A,N/A,1121,657.469
23,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.814070352,0.788888889,0.95,19,20,0.060546875,31,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.676767677,N/A,N/A,N/A,N/A,1204,658.723
24,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.804020101,0.755555556,1,20,20,0.056640625,29,512,0.092105263,49,532,0.001116071,49,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.646464646,N/A,N/A,N/A,N/A,1198,656.423
25,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.788888889,0.95,19,20,0.056640625,29,512,0.090225564,48,532,0.001093294,48,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.686868687,N/A,N/A,N/A,N/A,1326,652.477
26,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.814070352,0.788888889,1,20,20,0.05859375,30,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.707070707,N/A,N/A,N/A,N/A,1140,656.881
27,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.804020101,0.777777778,0.95,19,20,0.056640625,29,512,0.090225564,48,532,0.001093294,48,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.696969697,N/A,N/A,N/A,N/A,1198,654.187
28,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.809045226,0.733333333,0.95,19,20,0.060546875,31,512,0.093984962,50,532,0.001138848,50,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.646464646,N/A,N/A,N/A,N/A,1207,656.49
29,all,maxtime,600,com.example.socket.Socket,epatransition_epaexception,0.804020101,0.744444444,0.95,19,20,0.05859375,30,512,0.092105263,49,532,0.001116071,49,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.626262626,N/A,N/A,N/A,N/A,1167,655.618
0,all,maxtime,600,com.example.socket.Socket,line_branch_,0.879396985,0.822222222,0.5,10,20,0.037109375,19,512,0.054511278,29,532,7.52E-04,33,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.767676768,N/A,N/A,N/A,N/A,2067,632.079
1,all,maxtime,600,com.example.socket.Socket,line_branch_,0.884422111,0.822222222,0.5,10,20,0.0390625,20,512,0.056390977,30,532,7.74E-04,34,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.757575758,N/A,N/A,N/A,N/A,2100,631.519
2,all,maxtime,600,com.example.socket.Socket,line_branch_,0.884422111,0.822222222,0.5,10,20,0.0390625,20,512,0.056390977,30,532,7.74E-04,34,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.777777778,N/A,N/A,N/A,N/A,2074,631.489
3,all,maxtime,600,com.example.socket.Socket,line_branch_,0.884422111,0.822222222,0.5,10,20,0.041015625,21,512,0.058270677,31,532,8.20E-04,36,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.808080808,N/A,N/A,N/A,N/A,2099,631.491
4,all,maxtime,600,com.example.socket.Socket,line_branch_,0.874371859,0.822222222,0.5,10,20,0.037109375,19,512,0.054511278,29,532,7.29E-04,32,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.727272727,N/A,N/A,N/A,N/A,2263,630.787
